Trial_Id,Acronym,Sponsor,Hospital,Ciudad
0,ALINA,Hoffmann-La Roche,Hospital Universitario 12 de Octubre,Madrid
154,TRIDENT-1,"Turning Point Therapeutics, Inc.",Clinica Universidad de Navarra,Pamplona
172,XL184-021,Exelixis,Instituto Oncológico Rosell,Barcelona
945,1948-CL-0101,Astellas,Hospital de La Santa Creu i Sant Pau,Barcelona
915,NADIM-ADJUVANT,Grupo Español De Cáncer De Pulmón,Hospital Materno-Infantil del H.U. de Jaen,Jaén
908,ZEAL-1L,Glaxosmithkline,Clinica Universidad de Navarra,Pamplona
945,1948-CL-0101,Astellas,Hospital Clinico Universitario de Valencia,València
553,Chemoprotection,"Aileron Therapeutics, Inc.",Hospital Universitario Clinico San Carlos,Madrid
423,SAVANNAH,Astrazeneca,Hospital Universitario 12 de Octubre,Madrid
1035,GCT1042-01,Genmab,Hospital Universitario Hm Sanchinarro,Madrid
172,XL184-021,Exelixis,Hospital de Sabadell - Parc Taulí,Sabadell
1035,GCT1042-01,Genmab,Hospital Universitario Fundacion Jimenez Diaz,Madrid
108,CPDR001X2102,Novartis Pharmaceuticals,Hospital Universitari Vall D'Hebron,Barcelona
916,Neo-DIANA,Grupo Español De Cáncer De Pulmón,Hospital Universitario de Jaen,Jaén
300,Replay,Grupo Español De Cáncer De Pulmón,Hospital Universitari Vall D'Hebron,Barcelona
162,CTNO155X2101,Novartis Pharmaceuticals,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
168,IMbrella A,Hoffmann-La Roche,Complexo Hospitalario Universitario A Coruña,A Coruña
1107,LIBRETTO-432,"Loxo Oncology, Inc.",Hospital General Universitario de Albacete,Albacete
348,IOV-COM-202,"Iovance Biotherapeutics, Inc.",ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
1108,TOTEM,Instituto Oncológico Dr Rosell,Instituto Oncológico Rosell,Barcelona
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Consorcio Hospital General Universitario de Valencia,València
172,XL184-021,Exelixis,Clinica Universidad de Navarra,Pamplona
0,TROPION-LUNG01,Astrazeneca,Hospital Universitario Regional de Malaga,Málaga
172,XL184-021,Exelixis,Hospital Universitario Central de Asturias,Oviedo
0,NP41300,Hoffmann-La Roche,Clinica Universidad de Navarra,Pamplona
169,BGB-290-103,Beigene,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
394,205801,Glaxosmithkline,Hospital Universitari Vall D'Hebron,Barcelona
328,ALTA-3,Takeda,Hospital Universitario Regional de Malaga,Málaga
1032,CDKY709A12101C,Novartis Pharmaceuticals,Hospital Universitari Vall D'Hebron,Barcelona
671,LIBRETTO-431,"Loxo Oncology, Inc.",Hospital Clinico Universitario de Valencia,València
916,Neo-DIANA,Grupo Español De Cáncer De Pulmón,Fundacion Instituto Valenciano de Oncologia,València
1107,LIBRETTO-432,"Loxo Oncology, Inc.",Complexo Hospitalario Universitario de Ourense,Ourense
1035,GCT1042-01,Genmab,Hospital Universitario Fundacion Jimenez Diaz,Madrid
0,Morpheus Lung,Hoffmann-La Roche,Hospital Universitario Hm Sanchinarro,Madrid
992,M20-111,Abbvie,Hospital Universitario 12 de Octubre,Madrid
296,LAURA,Astrazeneca,Hospital del Mar,Barcelona
531,MK-7339-008/KEYLYNK-008,Merck Sharp & Dohme Corp.,Hospital Universitario 12 de Octubre,Madrid
0,CR108656,Janssen,Instituto Oncológico Rosell,Barcelona
916,Neo-DIANA,Grupo Español De Cáncer De Pulmón,Complejo Hospitalario Universitario Insular de Gran Canaria,Las Palmas de Gran Canaria
0,NP41300,Hoffmann-La Roche,Hospital Universitario Fundacion Jimenez Diaz,Madrid
262,ALERT-lung,European Thoracic Oncology Platform,Complexo Hospitalario Universitario A Coruña,A Coruña
76,GARNET,"Tesaro, Inc.",Clinica Universidad de Navarra,Madrid
