trial_id,acronym,sponsor,hospital
,ALINA,Hoffmann-La Roche,"Hospital Universitario 12 De Octubre, Madrid"
154.0,TRIDENT-1,"Turning Point Therapeutics, Inc.","Clinica Universidad De Navarra, Pamplona/Iruña"
172.0,XL184-021,Exelixis,"Instituto Oncológico Rosell, Barcelona"
945.0,1948-CL-0101,Astellas,"Hospital De La Santa Creu i Sant Pau, Barcelona"
915.0,NADIM-ADJUVANT,Grupo Español de Cáncer de Pulmón,"Hospital Materno-Infantil Del H.U. De Jaen, Jaén"
908.0,ZEAL-1L,GlaxoSmithKline,"Clinica Universidad De Navarra, Pamplona/Iruña"
945.0,1948-CL-0101,Astellas,"Hospital Clinico Universitario De Valencia, València"
553.0,Chemoprotection,"Aileron Therapeutics, Inc.","Hospital Universitario Clinico San Carlos, Madrid"
423.0,SAVANNAH,ASTRAZENECA,"Hospital Universitario 12 De Octubre, Madrid"
1035.0,GCT1042-01,Genmab,"Hospital Universitario Hm Sanchinarro, Madrid"
172.0,XL184-021,Exelixis,"Hospital De Sabadell - Parc Taulí, Sabadell"
1035.0,GCT1042-01,Genmab,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
108.0,CPDR001X2102,Novartis Pharmaceuticals,"Hospital Universitari Vall D'Hebron, Barcelona"
916.0,Neo-DIANA,Grupo Español de Cáncer de Pulmón,"Hospital Universitario De Jaen, Jaén"
300.0,Replay,Grupo Español de Cáncer de Pulmón,"Hospital Universitari Vall D'Hebron, Barcelona"
162.0,CTNO155X2101,Novartis Pharmaceuticals,"ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals, L' Hospitalet de Llobregat"
168.0,IMbrella A,HOFFMANN-LA ROCHE,"Complexo Hospitalario Universitario A Coruña, A Coruña"
1107.0,LIBRETTO-432,"Loxo Oncology, Inc.","Hospital General Universitario De Albacete, Albacete"
348.0,IOV-COM-202,"Iovance Biotherapeutics, Inc.","ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals, L' Hospitalet de Llobregat"
1108.0,TOTEM,Instituto Oncológico Dr Rosell,"Instituto Oncológico Rosell, Barcelona"
184.0,CK-301-101,"Checkpoint Therapeutics, Inc.","Consorcio Hospital General Universitario De Valencia, València"
172.0,XL184-021,Exelixis,"Clinica Universidad De Navarra, Pamplona/Iruña"
,TROPION-LUNG01,AstraZeneca,"Hospital Universitario Regional De Malaga, Málaga"
172.0,XL184-021,Exelixis,"Hospital Universitario Central De Asturias, Oviedo"
,NP41300,Hoffmann-La Roche,"Clinica Universidad De Navarra, Pamplona/Iruña"
169.0,BGB-290-103,BeiGene,"ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals, L' Hospitalet de Llobregat"
394.0,205801,GlaxoSmithKline,"Hospital Universitari Vall D'Hebron, Barcelona"
328.0,ALTA-3,Takeda,"Hospital Universitario Regional De Malaga, Málaga"
1032.0,CDKY709A12101C,Novartis Pharmaceuticals,"Hospital Universitari Vall D'Hebron, Barcelona"
671.0,LIBRETTO-431,"Loxo Oncology, Inc.","Hospital Clinico Universitario De Valencia, València"
916.0,Neo-DIANA,Grupo Español de Cáncer de Pulmón,"Fundacion Instituto Valenciano De Oncologia, València"
1107.0,LIBRETTO-432,"Loxo Oncology, Inc.","Complexo Hospitalario Universitario De Ourense, Ourense"
1035.0,GCT1042-01,Genmab,"Hospital Universitario Fundacion Jimenez Diaz, Madrid"
,Morpheus Lung,Hoffmann-La Roche,"Hospital Universitario Hm Sanchinarro, Madrid"
992.0,M20-111,AbbVie,"Hospital Universitario 12 De Octubre, Madrid"
296.0,LAURA,ASTRAZENECA,"Hospital Del Mar, Barcelona"
531.0,MK-7339-008/KEYLYNK-008,Merck Sharp & Dohme Corp.,"Hospital Universitario 12 De Octubre, Madrid"
,CR108656,Janssen,"Instituto Oncológico Rosell, Barcelona"
