customer_id,gender,vip_status,guild_member,referrals,tenure_months,chat_activated,custom_avatar,subscription_type,2FA,auto_save,disconnection_protection,premium_support,quick_charge,extra_stamina,subscription_type,email_billing,payment_method,monthly_charges_usd,total_charges_usd,opt_out
957e0bbf-d3a7-4053-828c-ab88faad57c8,Female,0,Yes,No,1,No,No,Advanced,No,Yes,No,No,No,No,Monthly,Yes,Skrill,29.85,29.85,No
791ddcbe-4134-4f8e-84b6-b633fb56827a,Male,0,No,No,34,Yes,Simple,Advanced,Yes,No,Yes,No,No,No,Yearly,No,PayPal,56.95,1889.5,No
bee89365-8e23-4bac-96d6-4894dd331263,Male,0,No,No,2,Yes,Simple,Advanced,Yes,Yes,No,No,No,No,Monthly,Yes,PayPal,53.85,108.15,Yes
c6aae754-2f39-470c-9aef-36d3622f996f,Male,0,No,No,45,No,No,Advanced,Yes,No,Yes,Yes,No,No,Yearly,No,Bank,42.3,1840.75,No
0c319e7e-4752-496e-8e38-5adff5592d38,Female,0,No,No,2,Yes,Simple,Pro,No,No,No,No,No,No,Monthly,Yes,Skrill,70.7,151.65,Yes
a649fa5e-529b-40ec-ad54-6e9ef8560752,Female,0,No,No,8,Yes,Multiple,Pro,No,No,Yes,No,Yes,Yes,Monthly,Yes,Skrill,99.65,820.5,Yes
9f03f075-24f8-478b-a5e2-6e0d701c73f7,Male,0,No,Yes,22,Yes,Multiple,Pro,No,Yes,No,No,Yes,No,Monthly,Yes,Card,89.1,1949.4,No
b1d66621-bd90-4199-bbb1-b961be221ca7,Female,0,No,No,10,No,No,Advanced,Yes,No,No,No,No,No,Monthly,No,PayPal,29.75,301.9,No
17f6d06f-d19f-433f-9412-84a1b927aff6,Female,0,Yes,No,28,Yes,Multiple,Pro,No,No,Yes,Yes,Yes,Yes,Monthly,Yes,Skrill,104.8,3046.05,Yes
2d645938-ecd0-42f6-9e7a-bac81aeb20b5,Male,0,No,Yes,62,Yes,Simple,Advanced,Yes,Yes,No,No,No,No,Yearly,No,Bank,56.15,3487.95,No
519fe2ba-7638-4435-a2b2-6c60c5f201b2,Male,0,Yes,Yes,13,Yes,Simple,Advanced,Yes,No,No,No,No,No,Monthly,Yes,PayPal,49.95,587.45,No
75cd12ab-ec76-471b-a3d7-2d4d97226a7d,Male,0,No,No,16,Yes,Simple,Basic,,,,,,,Permanent,No,Card,18.95,326.8,No
2f4d0a10-8499-4f8b-870b-07339d5abb80,Male,0,Yes,No,58,Yes,Multiple,Pro,No,No,Yes,No,Yes,Yes,Yearly,No,Card,100.35,5681.1,No
1eb92746-6618-4a2e-a0cd-13b19873e9f7,Male,0,No,No,49,Yes,Multiple,Pro,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Bank,103.7,5036.3,Yes
2081ec64-3e8d-4831-aae8-052545027634,Male,0,No,No,25,Yes,Simple,Pro,Yes,No,Yes,Yes,Yes,Yes,Monthly,Yes,Skrill,105.5,2686.05,No
eb017709-5ac9-4122-8196-1013b154569c,Female,0,Yes,Yes,69,Yes,Multiple,Pro,Yes,Yes,Yes,Yes,Yes,Yes,Permanent,No,Card,113.25,7895.15,No
43fcb5d9-196f-46e6-88f3-fd878bccee2c,Female,0,No,No,52,Yes,Simple,Basic,,,,,,,Yearly,No,PayPal,20.65,1022.95,No
004a1f59-a49e-4c99-b848-26fd1b02d62a,Male,0,No,Yes,71,Yes,Multiple,Pro,Yes,No,Yes,No,Yes,Yes,Permanent,No,Bank,106.7,7382.25,No
f05b1f2c-8493-4735-8a85-6a12ac007b92,Female,0,Yes,Yes,10,Yes,Simple,Advanced,No,No,Yes,Yes,No,No,Monthly,No,Card,55.2,528.35,Yes
a49e296e-8c06-4e72-ab0f-157ed545de5a,Female,0,No,No,21,Yes,Simple,Pro,No,Yes,Yes,No,No,Yes,Monthly,Yes,Skrill,90.05,1862.9,No
ca086dcd-98ac-4967-b060-8295626758c5,Male,1,No,No,1,No,No,Advanced,No,No,Yes,No,No,Yes,Monthly,Yes,Skrill,39.65,39.65,Yes
4a6865cd-7178-486e-a3c1-7213489227ca,Male,0,Yes,No,12,Yes,Simple,Basic,,,,,,,Yearly,No,Bank,19.8,202.25,No
6577d7a7-7eae-49c5-a918-706bca7db322,Male,0,No,No,1,Yes,Simple,Basic,,,,,,,Monthly,No,PayPal,20.15,20.15,Yes
93fc6ed7-8cd1-42e8-825c-6eae3e3d79ae,Female,0,Yes,No,58,Yes,Multiple,Advanced,No,Yes,No,Yes,No,No,Permanent,Yes,Card,59.9,3505.1,No
4ada9060-4b4a-4af6-9c33-239885894755,Male,0,Yes,Yes,49,Yes,Simple,Advanced,Yes,Yes,No,Yes,No,No,Monthly,No,Card,59.6,2970.3,No
6308e079-1dad-4321-a8d8-55bdead8add0,Female,0,No,No,30,Yes,Simple,Advanced,Yes,Yes,No,No,No,No,Monthly,Yes,Bank,55.3,1530.6,No
